name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross revenue,company,runtime,release month,release day,release year,other,release month num,release date,release quarter,release day of week,FILM,title_urled,budget_scraped
The Seduction,R,Thriller,1982,"January 29, 1982 (United States)",4.9,1100.0,David Schmoeller,David Schmoeller,Morgan Fairchild,United States,,11378339.0,The Romantic Venture,104.0,January,29,1982,(United States),1,1982-01-29,1,Friday,The Seduction (1982),the_seduction_1982,$2 million[1]
Deathtrap,PG,Comedy,1982,"March 19, 1982 (United States)",7.0,13000.0,Sidney Lumet,Ira Levin,Michael Caine,United States,,19282134.0,Warner Bros.,116.0,March,19,1982,(United States),3,1982-03-19,1,Friday,Deathtrap (1982),deathtrap_1982,
Tex,PG,Drama,1982,"July 30, 1982 (United States)",6.5,2000.0,Tim Hunter,S.E. Hinton,Matt Dillon,United States,,7400000.0,Walt Disney Productions,103.0,July,30,1982,(United States),7,1982-07-30,3,Friday,Tex (1982),tex_1982,$5 million[1]
"I, the Jury",R,Crime,1982,"April 22, 1982 (West Germany)",5.9,1500.0,Richard T. Heffron,Mickey Spillane,Armand Assante,United States,,1515578.0,American Cinema Productions,111.0,April,22,1982,(West Germany),4,1982-04-22,2,Thursday,"I, the Jury (1982)",i_the_jury_1982,
Young Doctors in Love,R,Comedy,1982,"July 16, 1982 (United States)",5.5,3000.0,Garry Marshall,Michael Elias,Michael McKean,United States,,30688860.0,ABC Motion Pictures,96.0,July,16,1982,(United States),7,1982-07-16,3,Friday,Young Doctors in Love (1982),young_doctors_in_love_1982,"$7,020,000[1]"
My Favorite Year,PG,Comedy,1982,"October 8, 1982 (United States)",7.4,9000.0,Richard Benjamin,Norman Steinberg,Peter O'Toole,United States,,20123620.0,Metro-Goldwyn-Mayer (MGM),92.0,October,8,1982,(United States),10,1982-10-08,4,Friday,My Favorite Year (1982),my_favorite_year_1982,$7.9 million[1]
Making Love,R,Drama,1982,"March 5, 1982 (United States)",6.9,2500.0,Arthur Hiller,Barry Sandler,Michael Ontkean,United States,,11897978.0,IndieProd Company Productions,113.0,March,5,1982,(United States),3,1982-03-05,1,Friday,Making Love (1982),making_love_1982,
The Beast Within,R,Horror,1982,"February 12, 1982 (United States)",5.6,3700.0,Philippe Mora,Tom Holland,Ronny Cox,United States,,7742572.0,Katzka,98.0,February,12,1982,(United States),2,1982-02-12,1,Friday,The Beast Within (1982),the_beast_within_1982,$5 million[1]
The Sender,R,Drama,1982,"October 22, 1982 (United States)",6.0,1800.0,Roger Christian,Thomas Baum,Kathryn Harrold,United Kingdom,,1054328.0,Paramount Pictures,91.0,October,22,1982,(United States),10,1982-10-22,4,Friday,The Sender (1982),the_sender_1982,
Kiss Me Goodbye,PG,Comedy,1982,"December 22, 1982 (United States)",6.0,1900.0,Robert Mulligan,Bruno Barreto,Sally Field,United States,,15782759.0,Twentieth Century Fox,101.0,December,22,1982,(United States),12,1982-12-22,4,Wednesday,Kiss Me Goodbye (1982),kiss_me_goodbye_1982,$8 million
A Midsummer Night's Sex Comedy,PG,Comedy,1982,"July 16, 1982 (United States)",6.6,19000.0,Woody Allen,Woody Allen,Woody Allen,United States,,9077269.0,Jack Rollins & Charles H. Joffe Productions,88.0,July,16,1982,(United States),7,1982-07-16,3,Friday,A Midsummer Night's Sex Comedy (1982),a_midsummer_night_s_sex_comedy_1982,
Vice Squad,R,Action,1982,"January 22, 1982 (United States)",6.5,2000.0,Gary Sherman,Sandy Howard,Season Hubley,United Kingdom,,13253583.0,AVCO Embassy Pictures,97.0,January,22,1982,(United States),1,1982-01-22,1,Friday,Vice Squad (1982),vice_squad_1982,$5.5 million[1]
Visiting Hours,R,Horror,1982,"May 28, 1982 (United States)",5.7,3800.0,Jean-Claude Lord,Brian Taggert,Michael Ironside,Canada,,13258670.0,Canadian Film Development Corporation (CFDC),103.0,May,28,1982,(United States),5,1982-05-28,2,Friday,Visiting Hours (1982),visiting_hours_1982,$6 million[3]
A Little Sex,R,Comedy,1982,"April 2, 1982 (United States)",4.9,501.0,Bruce Paltrow,Robert De Laurentiis,Tim Matheson,United States,,2370376.0,Company Four,95.0,April,2,1982,(United States),4,1982-04-02,2,Friday,A Little Sex (1982),a_little_sex_1982,
Class Reunion,R,Comedy,1982,"October 29, 1982 (United States)",4.7,2000.0,Michael Miller,John Hughes,Gerrit Graham,United States,,10054150.0,ABC Motion Pictures,84.0,October,29,1982,(United States),10,1982-10-29,4,Friday,Class Reunion (1982),class_reunion_1982,
Hanky Panky,PG,Action,1982,"June 4, 1982 (United States)",5.6,2400.0,Sidney Poitier,Henry Rosenbaum,Gene Wilder,United States,,9823934.0,Columbia Pictures,110.0,June,4,1982,(United States),6,1982-06-04,2,Friday,Hanky Panky (1982),hanky_panky_1982,$14 million[1]
Author! Author!,PG,Comedy,1982,"June 18, 1982 (United States)",6.2,5100.0,Arthur Hiller,Israel Horovitz,Al Pacino,United States,,13111101.0,Twentieth Century Fox,110.0,June,18,1982,(United States),6,1982-06-18,2,Friday,Author! Author! (1982),author_author_1982,
Split Image,R,Drama,1982,"October 3, 1982 (United States)",6.5,768.0,Ted Kotcheff,Scott Spencer,Michael O'Keefe,Canada,,263635.0,PolyGram Filmed Entertainment,110.0,October,3,1982,(United States),10,1982-10-03,4,Sunday,Split Image (1982),split_image_1982,$8 million[1]
The Challenge,R,Action,1982,"July 23, 1982 (United States)",6.3,2000.0,John Frankenheimer,Richard Maxwell,Scott Glenn,United States,,2977706.0,CBS Theatrical Films,108.0,July,23,1982,(United States),7,1982-07-23,3,Friday,The Challenge (1982),the_challenge_1982,
Six Weeks,PG,Drama,1982,"December 17, 1982 (United States)",5.7,818.0,Tony Bill,Fred Mustard Stewart,Dudley Moore,United States,,6668025.0,PolyGram Pictures,107.0,December,17,1982,(United States),12,1982-12-17,4,Friday,Six Weeks (1982),six_weeks_1982,$9 million[1]
The Missionary,R,Comedy,1982,"November 5, 1982 (United States)",6.2,2100.0,Richard Loncraine,Michael Palin,Michael Palin,United Kingdom,,7241180.0,HandMade Films,90.0,November,5,1982,(United States),11,1982-11-05,4,Friday,The Missionary (1982),the_missionary_1982,£2 million[1]
The Escape Artist,PG,Comedy,1982,"May 28, 1982 (United States)",6.2,683.0,Caleb Deschanel,David Wagoner,Raul Julia,United States,,143369.0,Zoetrope Studios,94.0,May,28,1982,(United States),5,1982-05-28,2,Friday,The Escape Artist (1982),the_escape_artist_1982,
Endangered Species,R,Drama,1982,"September 10, 1982 (United States)",5.9,914.0,Alan Rudolph,Judd Klinger,Robert Urich,United States,,1474249.0,Alive Enterprises,97.0,September,10,1982,(United States),9,1982-09-10,3,Friday,Endangered Species (1982),endangered_species_1982,
Homework,R,Comedy,1982,"August 27, 1982 (United States)",3.5,322.0,James Beshears,Maurice Peterson,Joan Collins,United States,,2914328.0,Jensen Farley Pictures,90.0,August,27,1982,(United States),8,1982-08-27,3,Friday,Homework (1982),homework_1982,
They Call Me Bruce,PG,Action,1982,"November 12, 1982 (United States)",5.7,1500.0,Elliott Hong,David Randolph,Johnny Yune,United States,,16894678.0,Gold Pine Productions,87.0,November,12,1982,(United States),11,1982-11-12,4,Friday,They Call Me Bruce (1982),they_call_me_bruce_1982,
Some Kind of Hero,R,Comedy,1982,"April 2, 1982 (United States)",5.8,1400.0,Michael Pressman,Robert Boris,Richard Pryor,United States,,23671186.0,Paramount Pictures,97.0,April,2,1982,(United States),4,1982-04-02,2,Friday,Some Kind of Hero (1982),some_kind_of_hero_1982,$8 million
Hammett,PG,Crime,1982,"September 17, 1982 (United States)",6.5,3000.0,Wim Wenders,Joe Gores,Frederic Forrest,United States,,42914.0,Orion Pictures,97.0,September,17,1982,(United States),9,1982-09-17,3,Friday,Hammett (1982),hammett_1982,$7 million[2]
Penitentiary II,R,Crime,1982,"April 2, 1982 (United States)",4.4,538.0,Jamaa Fanaka,Jamaa Fanaka,Leon Isaac Kennedy,United States,,3178542.0,Bob-Bea Productions,108.0,April,2,1982,(United States),4,1982-04-02,2,Friday,Penitentiary II (1982),penitentiary_ii_1982,"$365,000"
If You Could See What I Hear,PG,Biography,1982,"April 23, 1982 (United States)",6.8,785.0,Eric Till,Stuart Gillard,Marc Singer,Canada,,8693512.0,Cypress Grove,103.0,April,23,1982,(United States),4,1982-04-23,2,Friday,If You Could See What I Hear (1982),if_you_could_see_what_i_hear_1982,"CAD $5,600,000 (estimated)"
Richard Pryor: Live on the Sunset Strip,R,Comedy,1982,"March 12, 1982 (United States)",7.7,3900.0,Joe Layton,Paul Mooney,Richard Pryor,United States,,36299720.0,Columbia Pictures,82.0,March,12,1982,(United States),3,1982-03-12,1,Friday,Richard Pryor: Live on the Sunset Strip (1982),richard_pryor_live_on_the_sunset_strip_1982,
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,G,Animation,1982,"November 19, 1982 (United States)",7.1,1800.0,Directors,John W. Dunn,Mel Blanc,United States,,78350.0,Warner Bros. Animation,74.0,November,19,1982,(United States),11,1982-11-19,4,Friday,Bugs Bunny's 3rd Movie: 1001 Rabbit Tales (1982),bugs_bunny_s_3rd_movie_1001_rabbit_tales_1982,
Monsignor,R,Crime,1982,"October 22, 1982 (United States)",5.1,838.0,Frank Perry,Jack-Alain Léger,Christopher Reeve,United States,,12408066.0,Frank Yablans Presentations,121.0,October,22,1982,(United States),10,1982-10-22,4,Friday,Monsignor (1982),monsignor_1982,$10 million[1]
I Ought to Be in Pictures,PG,Comedy,1982,"March 26, 1982 (United States)",6.2,895.0,Herbert Ross,Neil Simon,Walter Matthau,United States,,6968359.0,Twentieth Century Fox,108.0,March,26,1982,(United States),3,1982-03-26,1,Friday,I Ought to Be in Pictures (1982),i_ought_to_be_in_pictures_1982,
Fighting Back,R,Action,1982,"May 21, 1982 (United States)",6.1,460.0,Lewis Teague,Thomas Hedley Jr.,Tom Skerritt,United States,,3355948.0,Permut Presentations,98.0,May,21,1982,(United States),5,1982-05-21,2,Friday,Fighting Back (1982),fighting_back_1982,$9 million[1]
Kamikaze 89,Not Rated,Sci-Fi,1982,"July 16, 1982 (West Germany)",5.8,665.0,Wolf Gremm,Robert Katz,Rainer Werner Fassbinder,West Germany,,22440.0,Regina Ziegler Filmproduktion,106.0,July,16,1982,(West Germany),7,1982-07-16,3,Friday,Kamikaze 89 (1982),kamikaze_89_1982,
The Wizard of Oz,Not Rated,Animation,1982,"October 6, 1982 (United States)",6.8,352.0,Fumihiko Takayama,Yoshimitsu Banno,Aileen Quinn,United States,,,Alan Enterprises,78.0,October,6,1982,(United States),10,1982-10-06,4,Wednesday,The Wizard of Oz (1982),the_wizard_of_oz_1982,
Heidi's Song,G,Animation,1982,"November 19, 1982 (United States)",6.3,256.0,Robert Taylor,Joseph Barbera,Lorne Greene,United States,,5124391.0,Hanna-Barbera Productions,94.0,November,19,1982,(United States),11,1982-11-19,4,Friday,Heidi's Song (1982),heidi_s_song_1982,$9 million[2]
Love Child,R,Crime,1982,"October 15, 1982 (United States)",5.7,253.0,Larry Peerce,Anne Gerard,Amy Madigan,United States,,,The Ladd Company,96.0,October,15,1982,(United States),10,1982-10-15,4,Friday,Love Child (1982),love_child_1982,$3.3 million[1]
Experience Preferred... But Not Essential,PG,Drama,1982,"December 22, 1982 (United Kingdom)",7.0,240.0,Peter Duffell,June Roberts,Elizabeth Edmonds,United Kingdom,,,Channel Four Film,80.0,December,22,1982,(United Kingdom),12,1982-12-22,4,Wednesday,Experience Preferred... But Not Essential (1982),experience_preferred_but_not_essential_1982,
Lonely Hearts,R,Comedy,1982,"October 21, 1982 (Australia)",6.8,336.0,Paul Cox,Paul Cox,Wendy Hughes,Australia,,777087.0,Adam Packer Film Productions,106.0,October,21,1982,(Australia),10,1982-10-21,4,Thursday,Lonely Hearts (1982),lonely_hearts_1982,"A$690,000[1]"
Possession,R,Drama,1981,"October 28, 1983 (United States)",7.4,27000.0,Andrzej Zulawski,Andrzej Zulawski,Isabelle Adjani,France,,1113538.0,Gaumont,124.0,October,28,1983,(United States),10,1983-10-28,4,Friday,Possession (1983),possession_1983,$2.4 million[1]
Frances,R,Biography,1982,"March 11, 1983 (Australia)",7.3,7300.0,Graeme Clifford,Eric Bergren,Jessica Lange,United States,,,Brooksfilms,140.0,March,11,1983,(Australia),3,1983-03-11,1,Friday,Frances (1983),frances_1983,
The State of Things,,Drama,1982,"February 18, 1983 (United States)",7.0,3000.0,Wim Wenders,Robert Kramer,Allen Garfield,West Germany,,3700.0,Gray City,121.0,February,18,1983,(United States),2,1983-02-18,1,Friday,The State of Things (1983),the_state_of_things_1983,
The Return of Martin Guerre,Not Rated,Biography,1982,"August 26, 1983 (United States)",7.4,4100.0,Daniel Vigne,Jean-Claude Carrière,Gérard Depardieu,France,,3723036.0,S.F.P.C.,112.0,August,26,1983,(United States),8,1983-08-26,3,Friday,The Return of Martin Guerre (1983),the_return_of_martin_guerre_1983,
La traviata,G,Drama,1982,"February 18, 1983 (Italy)",7.2,1300.0,Franco Zeffirelli,Francesco Maria Piave,Teresa Stratas,Netherlands,,3783329.0,Accent Films B.V.,109.0,February,18,1983,(Italy),2,1983-02-18,1,Friday,La traviata (1983),la_traviata_1983,
Spring Break,R,Comedy,1983,"March 25, 1983 (United States)",4.9,2800.0,Sean S. Cunningham,David Smilow,David Knell,United States,,24071666.0,Columbia Pictures,102.0,March,25,1983,(United States),3,1983-03-25,1,Friday,Spring Break (1983),spring_break_1983,$4.5 million[1]
The Hunger,R,Drama,1983,"April 29, 1983 (United States)",6.7,24000.0,Tony Scott,James Costigan,Catherine Deneuve,United Kingdom,,5988322.0,Metro-Goldwyn-Mayer (MGM),97.0,April,29,1983,(United States),4,1983-04-29,2,Friday,The Hunger (1983),the_hunger_1983,
Mr. Mom,PG,Comedy,1983,"August 19, 1983 (United States)",6.6,22000.0,Stan Dragoti,John Hughes,Michael Keaton,United States,,64783827.0,Sherwood Productions,91.0,August,19,1983,(United States),8,1983-08-19,3,Friday,Mr. Mom (1983),mr_mom_1983,
Local Hero,PG,Comedy,1983,"March 17, 1983 (United Kingdom)",7.4,22000.0,Bill Forsyth,Bill Forsyth,Burt Lancaster,United Kingdom,,5899678.0,Enigma Productions,111.0,March,17,1983,(United Kingdom),3,1983-03-17,1,Thursday,Local Hero (1983),local_hero_1983,£3 million[1] or £2.6 million[2]
Bad Boys,R,Crime,1983,"March 25, 1983 (United States)",7.2,14000.0,Rick Rosenthal,Richard Di Lello,Sean Penn,United States,,9190819.0,EMI Films,123.0,March,25,1983,(United States),3,1983-03-25,1,Friday,Bad Boys (1983),bad_boys_1983,$5 million[citation needed]
My Tutor,R,Comedy,1983,"April 22, 1983 (United States)",5.2,3300.0,George Bowers,Joe Roberts,Matt Lattanzi,United States,,22587834.0,Marimark Productions,97.0,April,22,1983,(United States),4,1983-04-22,2,Friday,My Tutor (1983),my_tutor_1983,
Eddie and the Cruisers,PG,Drama,1983,"September 23, 1983 (United States)",6.9,6900.0,Martin Davidson,Martin Davidson,Tom Berenger,United States,,4786789.0,Aurora,95.0,September,23,1983,(United States),9,1983-09-23,3,Friday,Eddie and the Cruisers (1983),eddie_and_the_cruisers_1983,$5 million[1]
Smokey and the Bandit Part 3,PG,Action,1983,"August 12, 1983 (United States)",3.5,8200.0,Dick Lowry,Stuart Birnbaum,Jackie Gleason,United States,,5678950.0,Universal Pictures,85.0,August,12,1983,(United States),8,1983-08-12,3,Friday,Smokey and the Bandit Part 3 (1983),smokey_and_the_bandit_part_3_1983,$9 million[1]
Tender Mercies,PG,Drama,1983,"March 4, 1983 (Canada)",7.4,9700.0,Bruce Beresford,Horton Foote,Robert Duvall,United States,,8443124.0,Antron Media Production,92.0,March,4,1983,(Canada),3,1983-03-04,1,Friday,Tender Mercies (1983),tender_mercies_1983,$4.5 million
Easy Money,R,Comedy,1983,"August 19, 1983 (United States)",6.3,8200.0,James Signorelli,Rodney Dangerfield,Rodney Dangerfield,United States,,29309766.0,Easy Money Associates,95.0,August,19,1983,(United States),8,1983-08-19,3,Friday,Easy Money (1983),easy_money_1983,
Merry Christmas Mr. Lawrence,R,Drama,1983,"September 2, 1983 (United States)",7.3,16000.0,Nagisa Ôshima,Lourens van der Post,David Bowie,United Kingdom,,2306560.0,National Film Trustee Company,123.0,September,2,1983,(United States),9,1983-09-02,3,Friday,Merry Christmas Mr. Lawrence (1983),merry_christmas_mr_lawrence_1983,
The Man with Two Brains,R,Comedy,1983,"June 3, 1983 (United States)",6.4,25000.0,Carl Reiner,George Gipe,Steve Martin,United States,,10353438.0,Aspen Film Society,93.0,June,3,1983,(United States),6,1983-06-03,2,Friday,The Man with Two Brains (1983),the_man_with_two_brains_1983,
Doctor Detroit,R,Comedy,1983,"May 6, 1983 (United States)",5.2,5400.0,Michael Pressman,Bruce Jay Friedman,Dan Aykroyd,United States,,10375893.0,Black Rhino Productions,89.0,May,6,1983,(United States),5,1983-05-06,2,Friday,Doctor Detroit (1983),doctor_detroit_1983,$8 million[citation needed]
Stroker Ace,PG,Action,1983,"July 1, 1983 (United States)",4.9,3700.0,Hal Needham,William Neely,Burt Reynolds,United States,,13000000.0,Universal Pictures,96.0,July,1,1983,(United States),7,1983-07-01,3,Friday,Stroker Ace (1983),stroker_ace_1983,$14 million[3]
The Pirates of Penzance,G,Comedy,1983,"February 18, 1983 (United States)",7.1,3300.0,Wilford Leach,W.S. Gilbert,Kevin Kline,United Kingdom,,694497.0,Universal Pictures,112.0,February,18,1983,(United States),2,1983-02-18,1,Friday,The Pirates of Penzance (1983),the_pirates_of_penzance_1983,
Educating Rita,PG,Comedy,1983,"October 28, 1983 (United States)",7.2,13000.0,Lewis Gilbert,Willy Russell,Michael Caine,United Kingdom,,14648076.0,Acorn Pictures,110.0,October,28,1983,(United States),10,1983-10-28,4,Friday,Educating Rita (1983),educating_rita_1983,£4 million[1]
A Night in Heaven,R,Drama,1983,"November 18, 1983 (United States)",4.3,1200.0,John G. Avildsen,Joan Tewkesbury,Christopher Atkins,United States,,5563663.0,,83.0,November,18,1983,(United States),11,1983-11-18,4,Friday,A Night in Heaven (1983),a_night_in_heaven_1983,"$6,000,000[1]"
Zelig,PG,Comedy,1983,"August 25, 1983 (Argentina)",7.7,41000.0,Woody Allen,Woody Allen,Woody Allen,United States,,11798616.0,Jack Rollins & Charles H. Joffe Productions,79.0,August,25,1983,(Argentina),8,1983-08-25,3,Thursday,Zelig (1983),zelig_1983,
Independence Day,R,Drama,1983,"September 9, 1983 (Denmark)",6.5,458.0,Robert Mandel,Alice Hoffman,Kathleen Quinlan,United States,,,Warner Bros.,110.0,September,9,1983,(Denmark),9,1983-09-09,3,Friday,Independence Day (1983),independence_day_1983,
Eureka,R,Drama,1983,"May 20, 1983 (United Kingdom)",6.0,3100.0,Nicolas Roeg,Marshall Houts,Gene Hackman,United Kingdom,,123572.0,Recorded Picture Company (RPC),130.0,May,20,1983,(United Kingdom),5,1983-05-20,2,Friday,Eureka (1983),eureka_1983,
Still Smokin,R,Comedy,1983,"May 6, 1983 (United States)",5.6,7400.0,Tommy Chong,Tommy Chong,Cheech Marin,United States,,15543710.0,Paramount Pictures,91.0,May,6,1983,(United States),5,1983-05-06,2,Friday,Still Smokin (1983),still_smokin_1983,
"Yor, the Hunter from the Future",PG,Action,1983,"August 19, 1983 (United States)",4.4,2900.0,Antonio Margheriti,Juan Zanotto,Reb Brown,Italy,,2810199.0,Diamant Film,88.0,August,19,1983,(United States),8,1983-08-19,3,Friday,"Yor, the Hunter from the Future (1983)",yor_the_hunter_from_the_future_1983,
The Star Chamber,R,Crime,1983,"August 5, 1983 (United States)",6.3,6500.0,Peter Hyams,Roderick Taylor,Michael Douglas,United States,,5555305.0,Twentieth Century Fox,109.0,August,5,1983,(United States),8,1983-08-05,3,Friday,The Star Chamber (1983),the_star_chamber_1983,$8 million
